crop_name,name,ripening,harvest_days,is_hybrid,conditions,notes,source
Морковь,Нантская 4,mid,90,false,any,,"каталоги сортов, сверено 2+ источника (fermilon.ru, stroy-podskazka.ru, 7ogorod.ru), 2026-08-17: 78-108 дней от всходов"
Морковь,Шантенэ 2461,mid,108,false,any,,"каталоги сортов, сверено 2+ источника (orton.ru, profermu.com, zelen.market), 2026-08-17: 100-115 дней от всходов"
Морковь,Тушон,early,85,false,any,,"каталоги сортов, сверено 2+ источника (glav-dacha.ru, sortoved.ru, agronomu.com), 2026-08-17: 80-90 дней от всходов"
