crop_name,name,ripening,harvest_days,is_hybrid,conditions,notes,source
Репа,Петровская 1,mid,72,false,any,,"каталоги сортов, сверено 2+ источника (fermilon.ru, leplants.ru), 2026-08-17: 60-84 дня, чаще 65-80"
Репа,Гейша,early,52,false,any,,"каталоги сортов, сверено 2+ источника (ncsemena.ru, leplants.ru), 2026-08-17: 45-60 дней"
