crop_name,name,ripening,harvest_doy_start,harvest_doy_end,is_hybrid,conditions,notes,source
Черешня,Валерий Чкалов,early,152,166,false,any,,"каталоги сортов, сверено 2+ источника (vniispk.ru, fermilon.ru), 2026-08-17: 1 декада июня, в Подмосковье — до середины июля"
Черешня,Ипуть,early,166,186,false,any,,"каталоги сортов, сверено 2+ источника (xn--80akvccf.xn--p1ai, antonovsad.ru), 2026-08-17: середина июня — начало июля"
