crop_name,name,ripening,harvest_days,is_hybrid,conditions,notes,source
Перец,Богатырь,mid,128,false,any,,"каталоги сортов, сверено 2+ источника (antonovsad.ru, orchardo.ru, uogorod.ru), 2026-08-17: 115-145 дней от всходов"
Перец,Калифорнийское чудо,early,115,false,any,,"каталоги сортов, сверено 2+ источника (ferma.expert, antonovsad.ru, profermu.com), 2026-08-17: 100-129 дней от всходов"
Перец,Ласточка,mid,122,false,any,,"каталоги сортов, сверено 2+ источника (ferma.expert, antonovsad.ru, fermilon.ru), 2026-08-17: 116-130 дней от всходов, среднеранний"
