crop_name,name,ripening,harvest_days,is_hybrid,conditions,notes,source
Горох,Альфа,early,50,false,any,,"каталоги сортов, сверено 2+ источника (ferma.expert, fermilon.ru), 2026-08-17: 49-50 дней от всходов"
Горох,Адагумский,mid,53,false,any,,"каталоги сортов, сверено 2+ источника (urozhayna-gryadka.narod.ru и др.), 2026-08-17: 50-55 дней"
