crop_name,name,ripening,harvest_days,is_hybrid,conditions,notes,source
Лук-порей,Казимир,late,165,false,any,,"каталоги сортов, сверено 2+ источника (общий обзор сортов лука-порея, 2026-08-17): 150-180 дней"
Лук-порей,Танго,late,165,false,any,,"каталоги сортов, сверено 2+ источника (общий обзор сортов лука-порея, 2026-08-17): 150-180 дней"
