crop_name,name,ripening,harvest_days,is_hybrid,conditions,notes,source
Петрушка,Обыкновенная листовая,early,70,false,any,,"каталоги сортов, сверено 2+ источника (ailita-shop.ru, sadyrad.ru), 2026-08-17: 65-75 дней"
Петрушка,Урожайная,mid,93,false,any,,"каталоги сортов, сверено 2+ источника (sadyrad.ru, xn--80ajgpcpbhkds4a4g.xn--p1ai), 2026-08-17: 84-102 дня"
